S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu229	145	1	57	33	17	20	2	0	2	2	30	89	6
otu230	0	0	0	0	0	7	156	131	87	0	0	1	0
otu232	61	45	37	34	7	29	2	19	42	0	30	77	3
otu233	13	3	15	122	1	9	4	1	0	0	2	10	200
otu234	0	2	2	355	13	0	0	4	0	3	13	8	0
otu236	0	0	0	356	0	0	0	0	0	1	0	7	17
otu238	33	116	0	2	11	200	1	0	0	0	0	4	0
otu239	122	40	32	33	89	191	0	0	0	1	8	27	0
otu241	3	3	5	318	0	3	0	0	0	22	0	0	6
otu242	202	135	21	0	0	8	0	0	0	0	0	0	0
otu243	46	41	113	14	38	12	149	128	187	13	45	120	124
otu244	35	18	30	162	3	11	13	20	34	0	46	36	20
otu245	32	15	4	26	25	134	0	36	77	0	0	19	0
otu246	42	61	10	2	45	105	0	7	85	1	3	11	0
otu247	2	11	5	73	0	1	0	0	0	37	40	1	218
otu248	6	0	1	0	15	4	66	59	177	1	3	119	0
otu249	2	3	11	339	0	5	0	0	0	1	2	1	25
otu250	8	0	61	18	1	0	0	8	2	2	4	18	271
otu252	10	0	0	0	0	331	0	0	0	0	0	0	0
otu253	0	0	0	216	0	0	0	0	0	56	62	2	50
otu254	53	4	0	0	23	3	95	105	290	0	7	84	0
otu256	39	4	21	95	43	109	1	4	2	0	4	50	2
otu258	38	1	0	2	14	40	27	35	156	0	1	56	0
otu259	9	0	24	150	9	15	0	0	0	6	16	31	106
otu260	92	8	7	44	22	107	0	0	0	0	3	49	0
otu261	58	11	2	65	0	0	0	0	0	205	11	0	8
otu262	83	133	38	74	5	41	0	0	0	0	21	1	2
otu263	15	1	0	23	4	7	1	1	349	0	1	5	0
otu264	1	0	4	297	0	0	0	0	0	0	14	3	10
otu266	27	7	4	50	32	75	15	23	182	0	5	125	0
otu267	21	10	14	214	17	38	1	10	41	1	0	35	5
otu269	44	69	11	119	5	67	0	0	3	1	9	10	1
otu270	108	1	29	10	38	55	0	0	2	1	1	84	0
otu271	22	36	8	185	0	15	0	0	0	6	18	5	52
otu272	18	1	0	0	56	34	0	0	178	0	0	46	0
otu273	0	0	0	54	0	0	0	0	0	169	117	0	16
otu274	27	1	23	241	46	83	215	342	914	4	13	171	23
otu275	101	35	22	6	33	44	2	3	19	0	6	77	0
otu276	70	65	14	21	16	25	31	61	296	5	17	64	10
otu277	123	14	47	74	32	46	68	107	170	0	13	62	11
otu278	20	0	31	195	3	7	0	0	0	2	31	14	27
otu279	19	21	38	416	12	22	40	5	5	14	12	48	55
otu281	0	2	41	267	0	4	0	0	0	4	8	1	5
otu282	9	0	0	0	1	1	224	59	46	0	3	1	1
otu283	0	0	1	114	0	0	0	0	0	19	30	1	163
otu284	115	6	5	1	32	76	28	3	69	0	0	4	0
otu285	0	0	2	280	1	3	0	0	0	0	9	28	5
otu286	55	1	16	7	1	73	9	37	74	0	15	50	0
otu287	5	0	14	194	0	0	0	0	0	1	5	0	114
otu288	45	9	0	5	78	53	0	0	89	0	0	50	1
otu289	60	72	1	97	4	59	0	0	0	0	1	6	0
otu290	1	6	1	115	0	0	0	0	0	412	4	0	0
otu291	121	4	33	35	10	82	0	1	5	0	1	37	0
otu292	0	0	2	138	0	0	0	0	0	54	16	1	115
otu293	100	109	29	47	1	22	0	0	1	1	18	12	3
otu296	29	0	0	0	0	279	0	0	0	0	0	0	0
otu297	16	2	76	181	3	9	2	4	3	0	0	40	18
otu298	64	33	22	182	3	11	0	0	0	0	0	21	3
otu299	0	0	0	0	5	0	7	134	181	0	3	15	0
otu300	10	0	0	1	2	71	238	67	6	0	1	1	0
otu301	30	40	27	162	63	109	1	5	51	0	3	41	4
otu302	55	1	74	40	22	41	3	2	1	0	22	53	11
otu303	17	3	3	6	0	266	0	0	0	0	0	2	0
otu304	69	3	5	7	50	161	0	0	0	0	1	48	0
otu305	79	20	9	70	34	21	0	0	0	33	51	6	12
otu306	71	36	19	298	16	58	0	0	0	29	28	10	127
otu307	300	6	31	0	0	0	0	0	0	0	0	0	0
otu308	1	0	18	264	0	1	0	0	0	0	5	7	16
otu310	128	35	27	35	10	49	0	3	3	0	0	20	0
otu311	61	1	4	3	26	57	2	23	57	0	12	114	0
otu312	50	207	13	1	12	34	43	1	127	0	2	30	0
otu313	19	22	12	175	3	32	5	1	5	8	16	3	40
otu314	0	0	0	0	0	0	0	0	0	301	16	0	12
otu315	8	2	53	171	18	4	0	0	0	7	47	24	1
otu316	0	2	5	285	0	1	0	0	0	0	0	4	22
otu317	21	6	14	190	8	10	0	0	0	2	28	11	29
otu318	34	0	46	31	58	21	0	1	8	0	4	119	0
otu319	7	2	0	222	17	42	0	0	4	0	1	19	0
otu320	0	0	0	46	0	0	0	0	0	189	8	0	331
otu321	11	3	2	6	65	146	0	0	4	0	1	55	0
otu322	35	41	13	147	14	54	0	1	0	6	19	19	5
otu323	1	0	0	125	0	0	0	0	0	230	53	0	260
otu324	74	19	25	50	17	19	7	40	89	1	28	107	15
otu325	77	14	31	20	12	13	0	4	11	9	92	43	41
otu326	23	2	24	6	23	42	34	17	58	1	3	66	0
otu327	56	3	73	63	19	56	0	0	0	0	0	37	0
otu328	39	123	15	72	1	21	7	3	10	0	6	10	0
otu330	50	9	15	72	26	50	1	10	36	0	5	34	1
otu332	74	32	18	65	6	47	11	1	2	0	0	22	6
otu333	9	0	1	0	11	2	32	49	139	0	0	37	0
otu334	34	12	16	223	13	126	1	3	16	2	26	56	5
otu336	19	2	73	74	8	82	0	0	0	0	2	19	2
otu337	61	36	22	76	10	55	0	0	0	2	18	22	4
otu338	9	0	2	1	2	4	219	41	33	1	6	20	0
otu339	40	109	2	5	5	124	0	0	3	0	0	1	0
otu340	12	1	2	2	82	18	0	0	21	0	10	169	0
otu341	84	48	16	22	31	76	0	0	0	0	21	17	0
otu342	52	3	50	83	19	15	0	0	22	0	0	101	0
otu343	2	0	0	0	0	0	0	0	0	84	0	0	424
otu344	5	0	60	1	0	0	189	125	80	2	4	0	0
otu345	0	1	0	0	6	0	221	86	84	0	0	6	0
otu346	17	3	40	211	0	6	0	0	0	0	2	2	170
otu347	32	7	80	230	0	13	0	0	0	1	3	1	0
otu348	37	1	1	1	8	3	51	79	229	0	10	38	1
otu349	324	23	30	0	0	4	13	44	34	0	0	56	1
otu350	22	13	13	206	10	17	0	0	0	2	34	11	97
otu352	5	0	5	80	0	0	0	0	0	30	23	0	141
otu353	54	2	0	0	99	33	1	36	259	0	1	173	0
otu354	0	0	0	354	0	0	0	0	0	56	19	0	63
otu355	10	3	1	116	5	14	1	0	2	7	5	0	136
otu356	176	12	0	2	55	65	12	11	70	0	0	10	0
otu357	78	10	13	8	4	127	1	1	4	0	22	13	0
otu358	4	0	44	214	1	1	0	4	6	0	14	6	18
otu359	16	1	11	2	20	8	9	27	146	0	9	77	0
otu360	58	2	18	0	14	27	32	26	105	0	7	62	0
otu361	39	23	35	106	28	65	0	40	57	0	14	87	1
otu362	131	0	37	0	8	6	4	14	11	0	1	77	5
otu363	72	21	65	96	5	220	4	23	72	0	1	11	0
otu364	56	2	24	130	1	6	0	0	0	1	14	17	58
otu365	17	0	16	2	6	1	67	32	55	0	8	48	57
otu366	0	0	0	0	7	0	25	81	181	0	0	10	0
otu367	1	0	6	105	0	0	0	0	0	0	0	1	181
otu368	35	4	1	12	37	111	4	35	283	0	0	12	0
otu369	8	1	3	1	12	51	18	20	222	0	5	14	0
otu370	70	67	11	53	23	31	0	0	0	2	3	23	0
otu371	30	0	3	2	13	16	67	33	59	2	14	40	1
otu372	3	0	0	0	5	0	11	222	390	0	0	20	0
otu373	87	23	25	36	6	116	0	0	0	0	1	17	6
otu374	15	2	12	170	12	33	0	0	0	3	12	16	8
otu375	9	0	34	138	1	21	0	0	0	1	10	7	65
otu376	0	0	0	137	0	0	0	0	0	33	4	0	96
otu377	1	0	7	3	1	1	3	0	1	2	6	2	232
otu378	38	10	7	6	64	96	4	20	107	1	12	84	0
otu380	21	49	19	20	8	36	22	11	75	1	8	27	16
otu381	15	0	0	1	6	1	124	37	126	0	0	40	0
otu382	1	0	0	0	2	0	7	130	128	0	0	21	0
otu383	14	0	2	2	9	1	40	21	220	0	5	40	0
otu384	22	3	72	135	0	0	0	0	0	1	0	43	3
otu385	81	4	44	77	5	17	0	0	0	0	13	28	2
otu386	45	1	4	114	1	3	0	0	0	23	5	0	79
otu387	43	30	13	48	28	62	0	0	0	1	11	24	2
otu388	23	15	12	127	29	45	0	0	0	0	3	20	1
otu389	0	0	0	111	0	0	0	0	0	41	19	0	102
otu390	21	0	15	188	18	76	0	0	0	0	5	13	0
otu391	100	4	19	21	25	52	21	6	19	0	0	18	0
otu392	0	0	0	50	0	0	0	0	0	108	5	0	122
otu393	40	10	25	92	22	39	0	0	10	0	11	24	9
otu394	0	0	0	0	1	1	3	79	180	0	0	1	0
otu395	92	2	29	2	16	77	6	15	44	0	8	13	1
otu397	0	0	0	0	1	0	132	103	66	0	1	11	0
otu398	3	5	14	412	0	0	0	0	0	16	5	4	52
otu399	20	1	1	5	27	45	4	169	106	0	2	73	0
otu400	0	84	6	143	0	24	0	0	0	0	0	0	0
otu401	6	1	2	455	2	7	0	0	2	0	5	11	0
otu402	0	0	0	248	2	0	0	0	0	0	1	1	3
otu403	0	0	1	61	0	0	0	0	0	3	2	0	187
