accnos	align	path
otu117	e33bfd958bc5fb12f4458b157ef3d12ad9f027ec_1177	98.4022522	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu118	2f46127c42f62a7f84681b25e633dd46d184dbeb_605	99.6046448	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu119	e46bb40758e3145f9893f891a1939d7c0ce7f41f_578	99.4374237	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu121	0a1d36a6eb48ce40a0ac4820959dd3b088f78728_968	99.6048355	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu122	57108cbd47d631b3f32c765bd62bc9518b04adb5_587	100	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;
otu123	21d37e12f9871f758c054ba788ca9b02b9d020c3_703	99.5819778	Bacteria;Proteobacteria;Proteobacteria Incertae Sedis;Unknown Order;Unknown Family;Candidatus Thiobios;
otu124	abdcbb82806bd454b9b259fde89c5ab8d38cb33d_665	99.1603622	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured;
otu126	4aa29437027bcd4d838c7dfc0cf42972f8e0143f_811	99.5972595	Bacteria;Gemmatimonadetes;Gemmatimonadetes;PAUC43f marine benthic group;
otu127	7dfa8a61f8c0d1cf6329d6bf3f8ceb9ea6372b26_619	99.5958481	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Actibacter;
otu128	47da7f037154406b9a869663630d15529d819aa3_665	100	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured;
otu129	af5cc330d6152077671278c7b4541e92fcd2f28d_557	99.200325	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;
otu130	8a6eee0d09fe6680a30dd74dd6f013cad1e021b9_572	99.5777664	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu131	b1bd98528ca769c574eb351fa5f975135da339bb_561	98.7686157	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;
otu132	f674a2d7b0455ba33fc615dc1ffe78239297054b_667	99.1298447	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Sva0081 sediment group;
otu133	b645169d89d6a6e1b1334f0bbe49ab0a7713599f_545	99.6010818	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Sva0081 sediment group;
otu134	3b97a5ed4689794a3b4608b89075622d707b122f_569	99.363739	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
otu136	d33d5ec4d13d090d82dbb628d6333d19975a7aee_590	99.591507	Bacteria;Proteobacteria;Gammaproteobacteria;
otu138	a14c313b74c51e2a3c49e3ac3793d786dc3f6736_643	99.6055374	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Sva0081 sediment group;
otu139	af15a8d9a08974ad647145afc95e196f44cb46cb_616	97.6830597	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu140	7cda3f337a61fb2cb31558817a18006263158d94_591	98.2896423	Bacteria;Proteobacteria;Deltaproteobacteria;43F-1404R;
otu141	f73e27e2b9acfe82a69c66757188d6a93fe297ff_540	100	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu142	411d7b4f7c991b58c8296cdd4dc0b5ca53ac4d96_647	99.5943298	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromusa;
otu143	c31edfcdcf88c85ed7e75fd13fe796ae9c6a2f34_527	99.5800705	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
otu144	ebbe3e70df3d3f1c6c2654fb2ecfed05d87eb607_704	99.0854797	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu145	1ef6c4794ff259ff9e42a58631d5949bf31a4d35_544	98.0721359	Bacteria;Acidobacteria;Acidobacteria;Subgroup 21;
otu146	84b8b71dbb0a619220c2f402395f4c07bf125be5_671	99.6063385	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu147	c40a4cbff013cce7d8b720819f1d988b2c7bba65_577	99.5901566	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;uncultured;
otu148	e3f0c503a1be0cf15e3f6a5da85a0fd0e08544f3_548	99.3773651	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu149	057af03a7892117a50a003bde19b2e80703ca0bf_686	99.6040344	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8 marine group;
otu150	4601db463992e6c2be452027ef038a3b96cdb5e2_564	99.1750717	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;
otu151	c6024c62a29b0246d6aecb59cfeb35d38c5c4e1b_1310	99.5702667	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Oscillatoria;
otu152	255d4d9f9810cb5373d59383f06519f3e6bb1237_500	99.256813	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu153	291260e42e7210841a4c5bb7992290daf64c30b8_513	99.3883286	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu154	fdd55e75d9163cc66dd2d8ea27632d9661a713c3_556	97.9019623	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
otu155	deac4cac606e3c1eee15b2eacb87e504778a9989_533	98.7949524	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacterales Incertae Sedis;Caldithrix;
otu156	bde48524beb59dee92790a872466ae6c171bf0ac_493	99.0185928	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu157	eddafb0330791a3ef2115ed80c255bef80c46b38_492	99.2242661	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;PHOS-HE36;
otu158	ee3caf2504436b76461b546b6089e03c039df5eb_968	100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria;
otu159	28d092d0f0e682f65785f0c2d89a96fc77a99dbb_505	99.4179459	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;
otu160	38e4a7a22c3399b2dd3735fea5c057ecdaa9078f_522	99.1040726	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter;
otu161	bfa763a0e8c131903c9b1f0482f7d5614b03cd17_547	99.3934784	Bacteria;Acidobacteria;Holophagae;Subgroup 10;Sva0725;
otu162	8a63fc2126861ea9277a36994165f8dcb456b26b_982	99.5759735	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu163	8f34be6472f81971c326eec33225ff048c87e485_980	100	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidiferrobacter;
otu164	dd6a9fed7804b6b0a01c1c855ee85d95124be238_484	99.5746765	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
otu165	9f435e3520cee16ba2fad5dd60bd8c352948edf5_500	98.7533264	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;uncultured;
