S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu224	0	3	0	0	4	0	0	0	0	3	102	0	19
otu225	0	108	0	10	0	0	0	0	0	0	3	0	0
otu226	3	6	0	137	0	0	0	1	1	0	2	0	0
otu229	0	0	0	0	1	0	34	82	5	0	1	0	0
otu230	35	0	1	43	11	26	0	10	36	0	7	2	0
otu231	88	13	0	13	5	2	0	0	0	0	2	0	0
otu232	11	1	0	111	14	5	0	0	0	0	0	1	0
otu233	0	0	0	155	0	0	0	0	0	1	0	0	5
otu235	0	4	0	118	0	0	0	0	0	0	4	0	0
otu236	24	0	11	44	16	27	0	1	0	0	0	15	0
otu237	2	3	0	2	0	0	9	291	8	0	0	10	3
otu238	20	118	0	28	0	0	0	0	0	0	9	0	0
otu241	22	8	0	4	38	60	0	5	66	0	1	6	0
otu242	0	0	0	133	0	0	0	0	0	0	4	0	0
otu243	15	46	0	8	0	45	0	1	0	0	0	1	0
otu244	102	7	0	0	2	16	0	0	0	0	0	1	1
otu247	5	21	61	4	0	19	0	0	0	0	4	1	0
otu249	0	0	0	0	1	0	0	0	134	0	0	0	0
otu250	13	1	2	0	1	1	5	39	43	0	15	30	0
otu252	34	12	0	16	9	0	0	0	0	9	33	0	1
otu253	4	0	0	107	0	0	0	0	0	0	0	1	0
otu254	0	1	30	73	0	0	0	0	0	0	0	0	12
otu255	10	61	0	40	14	7	0	0	0	0	0	0	0
otu258	0	0	0	113	0	0	0	0	0	0	8	0	0
otu259	6	3	11	31	0	39	0	1	0	0	25	1	0
otu260	3	16	59	0	1	38	0	7	22	0	0	0	0
otu261	0	100	0	0	1	1	0	0	9	0	0	1	0
otu262	11	6	41	59	0	6	0	0	0	2	0	0	0
otu263	6	2	1	8	35	1	0	64	29	0	4	14	0
otu265	37	55	0	3	1	0	0	0	0	0	10	0	0
otu269	0	0	0	90	0	3	0	0	0	0	2	0	0
otu270	0	0	25	50	0	37	0	0	0	0	0	1	0
otu271	1	0	0	0	0	0	87	24	8	0	0	0	0
otu272	3	70	11	17	2	5	0	0	0	0	1	0	0
otu273	0	0	0	1	0	0	0	0	0	20	71	0	17
otu274	38	74	0	0	0	3	0	0	0	0	0	0	0
otu275	0	0	3	79	0	0	0	0	0	0	15	0	15
otu276	15	0	28	60	5	4	0	0	0	0	0	4	0
otu277	1	1	1	72	41	0	0	0	0	0	0	1	0
otu278	0	0	0	0	0	0	0	95	0	0	0	0	0
otu279	14	51	12	15	0	23	0	1	0	0	2	1	0
otu280	3	0	2	27	0	0	0	0	0	0	79	0	3
otu281	5	40	0	42	0	16	0	0	0	0	0	0	0
otu283	12	0	0	70	8	13	0	0	0	0	0	0	0
otu284	20	0	0	8	1	0	0	0	0	0	84	1	0
otu286	17	0	0	0	0	2	7	44	5	0	28	6	0
otu287	59	0	26	0	14	0	0	0	0	0	0	0	0
otu288	29	0	0	3	54	14	0	3	5	0	8	12	0
otu289	1	96	0	0	18	10	0	0	2	0	0	16	0
otu290	0	0	3	94	0	1	0	0	0	0	1	0	0
otu291	25	19	8	0	16	41	0	54	1	0	0	3	0
otu292	10	0	6	154	0	0	0	0	0	0	74	1	3
otu293	12	15	0	0	19	45	0	0	0	0	3	8	0
otu295	0	0	0	26	0	0	0	0	0	72	3	0	0
otu296	0	0	0	0	0	0	0	0	0	101	0	0	0
otu299	9	42	0	9	17	19	0	2	1	0	0	1	0
otu301	30	6	0	13	18	21	0	0	0	0	0	1	0
otu302	3	3	5	32	5	35	1	4	0	0	1	2	1
otu304	32	2	15	0	1	45	0	0	2	0	0	4	0
otu305	1	1	89	0	0	0	0	0	0	0	0	0	1
otu306	1	0	0	0	0	2	0	0	0	0	103	1	0
otu307	0	0	0	0	0	0	0	0	0	98	0	0	0
otu308	3	75	0	12	0	9	0	0	0	0	0	0	0
otu310	3	8	17	64	0	9	0	0	0	0	31	0	0
otu313	0	0	0	92	0	0	0	0	0	0	1	0	0
otu314	0	98	0	0	0	0	0	0	0	0	0	0	0
otu316	4	0	0	3	1	0	2	0	7	3	80	13	0
otu317	1	4	0	0	62	19	0	3	0	0	0	5	0
otu318	51	0	2	0	2	1	9	93	25	0	60	7	0
otu319	0	93	0	0	0	0	0	0	0	0	0	0	0
otu321	0	0	0	0	0	1	3	166	6	0	0	1	0
otu322	41	1	0	15	35	48	0	0	0	0	0	4	0
otu323	3	2	0	97	1	0	0	0	0	0	0	0	0
otu325	3	0	2	0	3	43	0	35	5	0	0	1	0
otu328	3	9	20	7	5	54	0	0	0	0	0	4	0
otu330	54	3	4	0	7	12	0	0	4	0	0	0	0
otu331	2	0	0	0	44	3	0	11	13	0	0	23	0
otu332	6	77	0	0	0	0	0	0	0	0	0	0	0
otu334	1	0	5	0	12	25	0	0	1	2	34	12	0
otu337	3	0	0	0	45	24	0	1	0	0	0	22	0
otu338	32	0	0	0	38	13	0	4	9	0	0	3	0
otu339	0	0	0	0	0	0	0	93	0	0	0	0	0
otu340	6	8	3	72	0	2	0	0	0	0	1	0	1
otu341	0	0	0	0	0	0	0	0	0	80	0	0	0
otu342	8	11	10	48	0	7	0	0	0	0	0	0	0
otu343	0	0	0	0	51	35	0	0	0	0	0	1	0
otu344	11	0	5	18	31	56	0	3	0	0	0	4	0
