Longitude	Depth	Chla
421	-47.0005	105	0.07
422	-47.0005	110	0.11
423	-47.0005	115	0.12
424	-47.0005	120	0.1
425	-47.0005	125	0.08
426	-47.0005	130	0.07
427	-47.0005	135	0.06
428	-47.0005	140	0.06
429	-47.0005	145	0.06
430	-47.0005	150	0.06
431	-47.0005	155	0.05
432	-47.0005	160	0.05
433	-47.0005	165	0.04
434	-47.0005	170	0.03
435	-47.0005	175	0.03
436	-47.0005	180	0.03
437	-47.0005	185	0.03
438	-47.0005	190	0.03
439	-47.0005	195	0.03
440	-47.0005	200	0.03
441	-46.25	5	0.03
442	-46.25	10	0.03
443	-46.25	15	0.03
444	-46.25	20	0.03
445	-46.25	25	0.03
446	-46.25	30	0.03
447	-46.25	35	0.03
448	-46.25	40	0.03
449	-46.25	45	0.03
450	-46.25	50	0.03
451	-46.25	55	0.03
452	-46.25	60	0.03
453	-46.25	65	0.03
454	-46.25	70	0.04
455	-46.25	75	0.04
456	-46.25	80	0.04
457	-46.25	85	0.04
458	-46.25	90	0.05
459	-46.25	95	0.05
460	-46.25	100	0.06
461	-46.25	105	0.06
462	-46.25	110	0.08
463	-46.25	115	0.12
464	-46.25	120	0.12
465	-46.25	125	0.1
466	-46.25	130	0.07
467	-46.25	135	0.06
468	-46.25	140	0.05
469	-46.25	145	0.05
470	-46.25	150	0.04
471	-46.25	155	0.04
472	-46.25	160	0.04
473	-46.25	165	0.04
474	-46.25	170	0.04
475	-46.25	175	0.04
476	-46.25	180	0.04
477	-46.25	185	0.03
478	-46.25	190	0.03
479	-46.25	195	0.03
480	-46.25	200	0.03
481	-42.5	5	0.03
482	-42.5	10	0.03
483	-42.5	15	0.03
484	-42.5	20	0.03
485	-42.5	25	0.03
486	-42.5	30	0.03
487	-42.5	35	0.03
488	-42.5	40	0.04
489	-42.5	45	0.04
490	-42.5	50	0.04
491	-42.5	55	0.04
492	-42.5	60	0.05
493	-42.5	65	0.05
494	-42.5	70	0.05
495	-42.5	75	0.05
496	-42.5	80	0.06
497	-42.5	85	0.06
498	-42.5	90	0.06
499	-42.5	95	0.07
500	-42.5	100	0.07
501	-42.5	105	0.08
502	-42.5	110	0.09
503	-42.5	115	0.11
504	-42.5	120	0.11
505	-42.5	125	0.08
506	-42.5	130	0.06
507	-42.5	135	0.06
508	-42.5	140	0.05
509	-42.5	145	0.05
510	-42.5	150	0.05
511	-42.5	155	0.04
512	-42.5	160	0.04
513	-42.5	165	0.04
514	-42.5	170	0.04
515	-42.5	175	0.03
516	-42.5	180	0.03
517	-42.5	185	0.03
518	-42.5	190	0.03
519	-42.5	195	0.03
520	-42.5	200	0.03
521	-41.7503	5	0.03
522	-41.7503	10	0.03
523	-41.7503	15	0.03
524	-41.7503	20	0.03
525	-41.7503	25	0.03
526	-41.7503	30	0.03
527	-41.7503	35	0.03
